"God","g","g","","203",""
"head","^-h-\-e-d","hed","","204",""
"called","k-o-/-t","kot","","205",""
"looked","l-u-/-t","lut","","206",""
"whole","^-h-\-o-l","hol","","207",""
"set","s2-e-t","set","","208",""
"find","f-i","fi","","209",""
"world","u-u","uu","","211",""
"thing","th-\-h","hg","","213",""
"both","b-o-th","boh","","214",""
"told","t-o","to","","215",""
"let","l-e","le","","216",""
"look","l-u","lu","","217",""
"night","n-i","ni","","218",""
"heard","^-h-\-e2-d","hed","","220",""
"mind","m-i-n","min","","221",""
"knew","n-u","nu","","222",""
"heart","^-h-\-a2-t","hat","","223",""
"seen","s2-e-n","sen","","224",""
"days","d-a-s","das","","225",""
"name","n-a","na","","226",""
"among","m-ng","mg","","227",""
"better","b-t-e2","bte","","228",""
"full","f-u","fu","","229",""
"something","s2-m-\-h","smg","","230",""
"moment","m-o-m","mom","","231",""
"gave","g-a","ga","","232",""
"country","k-t","kt","","233",""
"almost","o-m-o","omo","","235",""
"soon","s2-n","sn","","237",""
"course","k-r-s","krs","","238",""
"cannot","k-n","kn","","239",""
"asked","s2-k-t","skt","","240",""
"small","s2-m-o","smo","","241",""
"enough","n-u-f","nuf","","242",""
"want","o-nt","ont","","243",""
"side","s-i","si","","244",""
"woman","u-mn","umn","","245",""
"however","a-u-v","wv","","246",""
"home","^-h-\-o-m","hom","","247",""
"brought","br-o-t","brot","","248",""
"whose","^-h-\-u-s","hus","","249",""
"nor","n-o-r","nor","","250",""
"father","f-a-th","fah","","251",""
"quite","k-a-t","qat","","252",""
"words","u-d-s","uds","","253",""
"given","g-e","ge","","254",""
"till","t-e","te","","255",""
"taken","t-a-k-n","takn","","257",""
"use","e-u","u","","258",""
"hands","^-h-\-nt-s","hnts","","259",""
"does","d-u-s","dus","","260",""
"until","nt-e","nte","","261",""
"end","nt","nt","","262",""
"turned","t-e-n-/-t","tent","","263",""
"rather","r-a-th","rah","","264",""
"best","b-e-s","bes","","266",""
"since","s2-e-n-s","sens","","268",""
"felt","f-e-l-t","felt","","269",""
"word","u-d","ud","","270",""
"lord","l-o-d","lod","","271",""
"light","l-i","li","","273",""
"oh","o","o","","274",""
"next","n-e-s","nes","","275",""
"began","b-g-a-n","bgan","","276",""
"less","l-e-s","les","","277",""
"present","p-r","pr","","278",""
"large","l-a-j","laj","","279",""
"water","u-o-t-e2","uote","","280",""
"den","d-e-n","den","","281",""
"within","e-th-e-n","ehen","","282",""
"door","d-o-r","dor","","283",""
"poor","p-u","pu","","284",""
"certain","s2-e-tn","setn","","285",""
"sent","s2-e-nt","sent","","288",""
"often","o-f-n","ofn","","289",""
"stood","s2-t-u","stu","","290",""
"power","p-a-u","pw","","291",""
"room","r-m","rm","","292",""
"half","^-h-\-a-f","haf","","293",""
"public","p-b","pb","","294",""
"themselves","th-m-ss","hmss","","295",""
"morning","mn-\-h","mng","","296",""
"sir","s2","s","","297",""
"myself","m-as2","mas","","298",""
"keep","k-p","kp","","299",""
"money","mn-e","mne","","300",""
"mother","m-u-th","muh","","301",""
"hundred","^-h-\-u-nt","hunt","","305",""
"kind","k-i","ki","","306",""
"order","o-d","od","","307",""
"war","u-o","uo","","308",""
"means","m-e-n-s","mens","","309",""
"form","f-m","fm","","310",""
"round","r-nt","rnt","","312",""
"received","r-s-e-/-t","rset","","313",""
"voice","v-o-e-s","vys","","314",""
"believe","b-e","be","","315",""
"white","^-h-\-u-i-t","huit","","317",""
"miss","m-e-s","mes","","318",""
"anything","n-e-\-h","neg","","319",""
"near","n-e2","ne","","320",""
"others","u-th-s","uhs","","321",""
"thus","th-u-s","hus","","322",""
"passed","p-a-s2-t","past","","323",""
"matter","m-a-t","mat","","324",""
"year","e-r","er","","326",""
"read","r-e-d","red","","327",""
"true","t-r-u","tru","","328",""
"point","o-e","y","","329",""
"herself","e-r-s","ers","","330",""
"friend","fr","fr","","331",""
"state","s2-t","st","","332",""
"person","p-r-s","prs","","333",""
"wife","i-f","if","","334",""
"already","o-r-e","ore","","335",""
"above","a-b-v","abv","","336",""
"high","^-h-\-i","hi","","337",""
"met","m-e-t","met","","338",""
"says","s2s","ss","","339",""
"together","t-u-g","tug","","340",""
"why","i","i","","341",""
"perhaps","p-r-a-p-s","praps","","342",""
"death","d-e-th","deh","","343",""
"dear","d-e2","de","","344",""
"fact","f-a-k","fak","","345",""
"least","l-e-s2-t","lest","","346",""
"case","k-a-s","kas","","347",""
"hear","^-h-\-e-r","her","","348",""
"known","n-o-n","non","","349",""
"English","e-ng-sh","engz","","350",""
"hope","^-h-\-o-p","hop","","352",""
"along","a-l-ng","alg","","353",""
"leave","l-e-v","lev","","354",""
"sure","sh-u","zu","","355",""
"children","ch-e-l","cel","","356",""
"during","d-r","dr","","357",""
"open","o-p-n","opn","","358",""
"yes","ye","ye","","359",""
"several","s2-e-v","sev","","360",""
"king","k-e-ng","keg","","361",""
"indeed","n-td","ntd","","362",""
"therefore","th2-f","hf","","363",""
"number","n-u-m","num","","364",""
"feet","f-e-t","fet","","365",""
"wish","u-sh","uz","","366",""
"gone","g-n","gn","","367",""
"girl","g-l","gl","","368",""
"lay","l-a","la","","369",""
"either","e-th2","eh","","370",""
"held","^-h-\-e-ld","held","","371",""
"whether","u-e-th","ueh","","372",""
"letter","l-e","le","","373",""
"help","^-h-\-e-l-p","help","","374",""
"free","fr-e","fre","","375",""
"general","j-e-n","jen","","376",""
"second","s2-e-k-nt","seknt","","377",""
"alone","a-l-o-n","alon","","378",""
"return","r-e-t","ret","","379",""
"women","u-e-mn","uemn","","380",""
"nature","n-a-t","nat","","381",""
"times","tm-s","tms","","382",""
"land","l-a-nt","lant","","383",""
"became","b-k-a","bka","","384",""
"become","b-k","bk","","385",""
"thousand","th-a-u","hw","","386",""
"body","b-o","bo","","387",""
"air","a-r","ar","","388",""
"call","k-o","ko","","390",""
"sat","s2-a-t","sat","","391",""
"speak","s-p","sp","","392",""
"united","e-u-n-i-/-t","unit","","393",""
"itself","t-ss","tss","","394",""
"hour","r","r","","396",""
"reason","r-s2-n","rsn","","398",""
"forth","f-th","fh","","400",""
"feel","f-e-l","fel","","401",""
"rest","r-e-s","res","","404",""
"business","b-s","bs","","406",""
"behind","b-i","bi","","408",""
"plus","pl-u-s","plus","","413",""
"really","r-e-e","ree","","414",""
"child","ch-i-ld","cild","","417",""
"lost","l-o-s2-t","lost","","418",""
"human","^-h-\-e-u-mn","humn","","419",""
"replied","r-e-p-/-t","rept","","420",""
"kept","k-p-t","kpt","","421",""
"different","df","df","","424",""
"fire","f-i-r","fir","","426",""
"short","^-sh","z","","427",""
"manner","mn-e2","mne","","428",""
"mean","m-e-n","men","","429",""
"city","s2-e-t-e","sete","","430",""
"fell","f-e-l","fel","","431",""
"able","a-bl","abl","","432",""
"need","n-e-d","ned","","433",""
"French","fr-e-n-ch","frenc","","434",""
"question","k-n","qn","","435",""
"family","f-a-m-ya","famya","","436",""
"boy","b-o-e","by","","437",""
"cause","k-s2","ks","","438",""
"strong","s2-t-r","str","","440",""
"ten","tn","tn","","442",""
"o","o","o","","443",""
"England","e-ng","eg","","444",""
"possible","p-o-s","pos","","445",""
"dead","td","td","","446",""
"returned","r-e-t-/-t","rett","","447",""
"bring","br","br","","448",""
"foundation","f-nt-sh","fntz","","450",""
"live","l-a-v","lav","","451",""
"around","a-r-nt","arnt","","452",""
"doubt","d-a-u","dw","","453",""
"hard","^-h-\-a2-d","had","","454",""
"soul","s2-o-l","sol","","455",""
"ask","s2-k","sk","","456",""
"sort","s2-o-t","sot","","457",""
"fine","f-i-n","fin","","458",""
"hold","^-h-\-o-ld","hold","","459",""
"lady","l-a-d-e","lade","","460",""
"black","bl-a-k","blak","","461",""
"beautiful","b-t-e-f","btef","","462",""
"sense","s2-e-n-s","sens","","463",""
"close","k-l-o-s","klos","","464",""
"subject","s-j","sj","","465",""
"turn","t-e-n","ten","","466",""
"town","t-n","tn","","467",""
"followed","f-o-/-t","fot","","468",""
"law","l-o","lo","","469",""
"evening","e-v-n-\-h","evng","","470",""
"truth","t-r","tr","","471",""
"ground","g-r-nt","grnt","","472",""
"understand","u-/-s2-tn","ustn","","473",""
"show","sh-o","zo","","474",""
"written","r-e-tn","retn","","475",""
"common","k-mn","kmn","","477",""
"ought","o-t","ot","","478",""
"fear","f-e-r","fer","","479",""
"dark","d-a-r-k","dark","","480",""
"party","p-t-e","pte","","481",""
"ready","r-e-d-e","rede","","482",""
"force","f-s2","fs","","483",""
"carried","k-a-e-/-t","kaet","","484",""
"can't","k-t","kt","","485",""
"early","e-r-e","ere","","486",""
"talk","t-o-k","tok","","487",""
"account","a-k-t","akt","","488",""
"answer","a-n-s","ans","","489",""
"paid","p-d","pd","","490",""
"across","a-k-r-s","akrs","","491",""
"necessary","n-e-ss","ness","","493",""
"earth","e-r-th","erh","","496",""
"spirit","s-p-r","spr","","497",""
"idea","a-d-e","ade","","499",""
"character","k-a-k","kak","","501",""
"reached","r-e-ch-t","rect","","502",""
"copyright","k-p-e-r-i","kperi","","503",""
"sea","s-e","se","","504",""
"appeared","a-p-r-/-t","aprt","","505",""
"sight","s2-i-t","sit","","507",""
"interest","^-n","n","","508",""
"book","b-k","bk","","512",""
"seem","s2-e-m","sem","","513",""
"continued","k-tn-u-d","ktnud","","515",""
"spoke","s-p-k","spk","","516",""
"strange","s2-t-j","stj","","517",""
"copy","k-p-e","kpe","","518",""
"age","a-j","aj","","519",""
"meet","m-e-t","met","","520",""
"longer","l-ng-e2","lnge","","521",""
"story","s2-t-o-r-e","store","","522",""
"deep","d-e-p","dep","","524",""
"nearly","n-e2-e2","nee","","525",""
"line","l-a-n","lan","","526",""
"further","f-th2","fh","","527",""
"later","l-a-t-e2","late","","530",""
"added","a-td","atd","","532",""
"brother","br-u-th","bruh","","533",""
"neither","n-e-th","neh","","534",""
"stand","s2-tn","stn","","535",""
"art","a2-t","at","","537",""
"real","r-e","re","","538",""
"toward","t-o-d","tod","","540",""
"rose","r-o-s","ros","","541",""
"beyond","b-o-n","bon","","542",""
"chapter","ch-a-p-t-e2","capte","","545",""
"everything","e-v-\-h","evg","","546",""
"pretty","p-r-e","pre","","547",""
"act","a-k","ak","","548",""
"suppose","s-p-o","spo","","549",""
"comes","k-m-s","kms","","550",""
"except","s-e-p","sep","","551",""
"table","t-a-b","tab","","552",""
"hours","r-s2","rs","","553",""
"river","r-e-v","rev","","554",""
"cut","k-u-t","kut","","555",""
"eye","a","a","","556",""
"change","ch","c","","557",""
"past","p-a-s","pas","","558",""
"natural","n-a-t-l","natl","","559",""
"entered","^-n-/-d","nd","","560",""
"none","n-u-n","nun","","561",""
"happy","^-h-\-a-p-e","hape","","562",""
"position","p-o-sh","poz","","563",""
"else","l-s","ls","","565",""
"clear","k-l-e","kle","","566",""
"late","l-a-t","lat","","567",""
"American","a-m-n","amn","","568",""
"bed","b-d","bd","","570",""
"laid","l-a-d","lad","","571",""
"cold","k-o-ld","kold","","572",""
"bad","b-d","bd","","573",""
"sound","s2-nt","snt","","574",""
"remember","r-e-mn","remn","","575",""
"view","v-e-u","vu","","576",""
"led","l-e-d","led","","577",""
"low","l-o","lo","","578",""
"forward","f-d","fd","","579",""
"fair","f-a-r","far","","580",""
"although","o-th-o","oho","","581",""
"makes","m-a-k-s","maks","","582",""
"purpose","p-r-p","prp","","583",""
"knowledge","n-o-l","nol","","584",""
"pay","p-a","pa","","586",""
"receive","r-s2-e","rse","","587",""
"blood","bl-u-d","blud","","588",""
"army","a2-m-e","ame","","589",""
"daughter","d-o-t-e2","dote","","590",""
"note","n-o-t","not","","591",""
"opened","o-jnt","ojnt","","592",""
"run","r-n","rn","","593",""
"fall","f-o","fo","","596",""
"effect","f-k","fk","","597",""
"pass","p-a-s","pas","","598",""
"sun","s2-n","sn","","599",""
"road","r-o-d","rod","","600",""
"husband","^-h-\-u-s2","hus","","601",""
"charge","ch-j","cj","","602",""
"tried","t-r-i-d","trid","","603",""
"important","m-p","mp","","605",""
"literary","l-e-t-r-e","letre","","606",""
"wanted","o-nt-d","ontd","","607",""
"service","^-s2","s","","608",""
"front","fr-nt","frnt","","609",""
"red","r-e-d","red","","610",""
"probably","p-r-b-e","prbe","","611",""
"future","f-t","ft","","612",""
"placed","pl-a-s2-t","plast","","613",""
"especially","e-s-p-e","espe","","614",""
"desire","d-s","ds","","616",""
"send","s2-e-n","sen","","618",""
"office","o-f","of","","619",""
"London","l-nt","lnt","","621",""
"greater","g-r-r","grr","","622",""
"big","b-g","bg","","624",""
"letters","l-es","les","","625",""
"peace","p-e-s","pes","","626",""
"hair","^-h-\-a-r","har","","627",""
"pleasure","pl-e-sh","plez","","628",""
"horse","^-h-\-o-r-s","hors","","631",""
"remained","r-e-mn-/-t","remnt","","632",""
"opinion","o-p-n","opn","","633",""
"various","v-a-r-s","vars","","634",""
"history","^-h-\-e-s2-t-r-e","hestre","","636",""
"play","pl-a","pla","","637",""
"agreement","^-ya-m","yam","","638",""
"died","d-i-d","did","","639",""
"wrote","r-o-t","rot","","642",""
"wild","u-i-ld","uild","","643",""
"ran","r-a-n","ran","","644",""
"government","g-v","gv","","645",""
"save","s2-a-v","sav","","647",""
"length","l-e-ng","leg","","648",""
"ah","a","a","","649",""
"master","m-a-s","mas","","650",""
"latter","l-a-t-e2","late","","651",""
"persons","p-r-s-s","prss","","652",""
"hardly","^-h-\-a2-d-e","hade","","654",""
"gold","g-o-ld","gold","","655",""
"paper","p-a-p-r","papr","","656",""
"particular","p-a-t","pat","","657",""
"mark","m-a-r-k","mark","","658",""
"information","n-f-m-sh","nfmz","","659",""
"bear","b-a-r","bar","","660",""
"fellow","f-e-l-o","felo","","661",""
"church","ch-e2-ch","cec","","662",""
"attention","tn-sh","tnz","","663",""
"wind","u-e-nt","uent","","665",""
"per","p-r","pr","","666",""
"company","k-p","kp","","668",""
"walked","u-o-k-t","uokt","","669",""
"chief","ch-e-f","cef","","670",""
"strength","s2-t-r","str","","671",""
"gentleman","jnt-m-a-n","jntman","","672",""
"mine","m-i-n","min","","673",""
"object","o-b","ob","","675",""
"unless","n-l","nl","","676",""
"duty","td-e","tde","","677",""
"drew","d-r-u","dru","","678",""
"single","s2-e-ng","seg","","679",""
"distance","d-s2-tn-s","dstns","","680",""
"deal","d-e2","de","","682",""
"visit","v-e-s2-e-t","veset","","683",""
"foot","f-u-t","fut","","684",""
"beauty","b-t-e","bte","","685",""
"heavy","^-h-\-e-v-e","heve","","687",""
"thinking","th-^-h-\-\-h","hhg","","690",""
"loved","l-v-d","lvd","","691",""
"carry","k-a-e","kae","","692",""
"immediately","e-m-e","eme","","693",""
"captain","k-a-p-tn","kaptn","","694",""
"try","t-r-i","tri","","697",""
"rich","r-e-ch","rec","","698",""
"plain","pl-a-n","plan","","699",""
"sweet","s2-u-e-t","suet","","700",""
"minutes","mn-e-t-s","mnets","","703",""
"follow","f-o","fo","","704",""
"trouble","t-r-b","trb","","705",""
"yourself","us","us","","706",""
"write","r-i","ri","","707",""
"chance","ch-a-n-s","cans","","708",""
"regard","r-e","re","","709",""
"filled","f-e-ld","feld","","710",""
"trees","t-r-e-s","tres","","712",""
"won't","o-nt","ont","","713",""
"presence","p-r","pr","","714",""
"merely","m-e2-e2","mee","","715",""
"secret","s2-e-k-r-e-t","sekret","","716",""
"former","f-m-e2","fme","","717",""
"mere","m-e2","me","","718",""
"appear","a-p-r","apr","","719",""
"struck","s2-t-r-k","strk","","720",""
"learned","l-e-n-/-t","lent","","721",""
"arm","a2-m","am","","722",""
"happened","^-h-\-a-jnt","hajnt","","724",""
"man's","m-a-n-s","mans","","725",""
"influence","n-f","nf","","726",""
"instead","n-s2-td","nstd","","727",""
"window","u-e-nt-o","uento","","730",""
"afraid","fr-a","fra","","732",""
"below","bl-o","blo","","733",""
"wrong","r-o-ng","rog","","734",""
"months","mn-th-s","mnhs","","735",""
"silence","s2-i-l","sil","","736",""
"broken","br-o-k-n","brokn","","737",""
"raised","r-a-s2-d","rasd","","738",""
"outside","a-u-s-i","wsi","","740",""
"caught","k-o-t","kot","","742",""
"simple","s2-e-m-p","semp","","743",""
"lips","l-e-p-s","leps","","744",""
"figure","f-e-g-r","fegr","","745",""
"ago","a-g","ag","","746",""
"reach","r-e-ch","rec","","747",""
"easily","e-s-ye","esye","","748",""
"noble","n-o-b","nob","","749",""
"whatever","o-t-e-v","otev","","750",""
"ancient","a-n-sh-t","anzt","","752",""
"blue","bl-u","blu","","753",""
"agree","^-ya","ya","","756",""
"generally","j-e-n-e","jene","","757",""
"showed","sh-o-d","zod","","758",""
"easy","e-s-e","ese","","759",""
"ship","sh","z","","760",""
"action","a-k-sh","akz","","761",""
"stay","s2-t-a","sta","","762",""
"hat","^-h-\-a-t","hat","","763",""
"property","p-r-p-t","prpt","","765",""
"fit","f-e-t","fet","","766",""
"enemy","e-n-e-m-e","eneme","","767",""
"grew","g-r-u","gru","","768",""
"afterwards","a-f-d-s","afds","","769",""
"born","b-o-n","bon","","770",""
"places","pl-a-ss","plass","","771",""
"impossible","m-p-o-s","mpos","","773",""
"worth","u-u-th","uuh","","774",""
"arrived","a-r-i-/-t","arit","","776",""
"occasion","k-a-sh","kaz","","777",""
"remain","r-e-mn","remn","","778",""
"please","pl","pl","","779",""
"green","g-r-e-n","gren","","780",""
"married","m-a-r-e-d","mared","","781",""
"third","th2-e2-d","hed","","782",""
"mouth","m-a-u-th","mwh","","783",""
"sleep","s-l-e-p","slep","","784",""
"period","p-e2-d","ped","","785",""
"fresh","fr-e-sh","frez","","786",""
"faith","f-a-th","fah","","787",""
"system","s2s","ss","","788",""
"entirely","nt-ia","ntia","","792",""
"smile","s2-m-i2","smi","","793",""
"goes","g-s","gs","","795",""
"usual","e-u-sh","uz","","796",""
"covered","k-v-/-t","kvt","","798",""
"appearance","a-p-r-n-s","aprns","","799",""
"bound","b-n","bn","","800",""
"respect","r-e-s","res","","801",""
"quiet","k-i-t","qit","","802",""
"beside","b-s-i","bsi","","803",""
"dinner","tn-r","tnr","","804",""
"expression","e-s-p-r-e-sh","xprez","","805",""
"stopped","ss2-t","sst","","806",""
"slowly","s-l-o-e","sly","","808",""
"considerable","k-s-b","ksb","","809",""
"prince","p-r-e-n-s","prens","","810",""
"somewhat","s2-m-o-t","smot","","811",""
"walk","u-o-k","uok","","812",""
"wonder","u-u-n","uun","","813",""
"greatest","g-r-s2-t","grst","","815",""
"provide","p-r-v-i","prvi","","816",""
"perfect","p-r-f","prf","","818",""
"court","k-o-t","kot","","819",""
"youth","e-u-th","uh","","821",""
"cost","k-o-s","kos","","822",""
"sudden","s2-u-tn","sutn","","825",""
"Christian","k-r-e-s-ch","kresc","","826",""
"evil","e-v-l","evl","","827",""
"danger","tn-j-e2","tnje","","828",""
"main","m-a-n","man","","829",""
"battle","b-t-l","btl","","830",""
"wished","u-sh-t","uzt","","831",""
"command","k-m-a-n","kman","","832",""
"notice","n-e-s","nes","","833",""
"piece","p-e-s","pes","","834",""
"political","p-o-l-/-ya","polya","","835",""
"sister","ss2-t-e2","sste","","836",""
"proper","p-r-p-r","prpr","","838",""
"started","s2-t-a2-td","statd","","840",""
"considered","k-s-/-t","kst","","841",""
"expected","e-s-p-/-t","xpt","","844",""
"joy","j-o-e","jy","","845",""
"private","p-r-i","pri","","846",""
"bright","br-i","bri","","847",""
"result","r-s2-u","rsu","","848",""
"school","s2-k-l","skl","","849",""
"sit","s2-e-t","set","","850",""
"language","l-a-ng","lag","","851",""
"individual","nt-v","ntv","","853",""
"south","s2-a-u","sw","","854",""
"meant","mn-t","mnt","","856",""
"food","f-u-d","fud","","857",""
"wide","u-i-d","uid","","858",""
"formed","f-m-/-t","fmt","","859",""
"week","e-k","ek","","860",""
"tears","t-ye2","tye","","862",""
"opportunity","o-p-r","opr","","863",""
"value","v-l","vl","","865",""
"broke","br-o-k","brok","","867",""
"support","s-/-t","st","","869",""
"due","d-u","du","","870",""
"village","v-e-l-j","velj","","871",""
"fight","f-i-t","fit","","872",""
"experience","e-s-p","xp","","873",""
"medium","m-e-tm","metm","","875",""
"stone","s2-t-o-n","ston","","876",""
"begin","b-g-e-n","bgen","","877",""
"domain","d-o-mn","domn","","879",""
"personal","p-r-s","prs","","881",""
"access","a-k-ss","akss","","882",""
"learn","l-e-n","len","","885",""
"offered","o-f-/-t","oft","","887",""
"grand","^-g","g","","889",""
"society","ss2","ss","","891",""
"boat","b-o-t","bot","","892",""
"takes","t-a-k-s","taks","","894",""
"date","td","td","","895",""
"original","o-r-e-j","orej","","896",""
"difficult","df-k","dfk","","898",""
"conversation","k-v-e-sh","kvez","","899",""
"wait","u-a-t","uat","","900",""
"tree","t-r-e","tre","","901",""
"produced","p-r-o-d-u-s2-t","produst","","902",""
"paragraph","^-p-/-g","pg","","904",""
"cast","k-a-s2-t","kast","","905",""
"month","mn-th","mnh","","906",""
"top","t-o-p","top","","907",""
"tone","t-o-n","ton","","909",""
"laughed","l-a-f-t","laft","","910",""
"intended","n-tn-/-t","ntnt","","912",""
"Indian","nt-ea-n","ntean","","914",""
"direction","d-r-k-sh","drkz","","918",""
"gives","g-e-s","ges","","919",""
"terrible","t-e-r-b","terb","","920",""
"silent","s2-i-l-e-nt","silent","","921",""
"produce","p-r-o-d-u-s","produs","","922",""
"lie","l-i","li","","925",""
"scene","s2-e-n","sen","","926",""
"lives","l-a-v-s2","lavs","","927",""
"effort","e-f-t","eft","","928",""
"attempt","a-tm-t","atmt","","929",""
"likely","l-a-e","lae","","930",""
"drawn","d-r-o-n","dron","","932",""
"fast","f-a-s2-t","fast","","934",""
"Street","s2-t","st","","935",""
"wall","u-o-l","uol","","936",""
"troops","t-r-u-p-s","trups","","938",""
"modern","m-o-tn","motn","","939",""
"military","m-e-l-e-t","melet","","941",""
"author","o-th-r","ohr","","942",""
"field","f-e-ld","feld","","943",""
"heaven","^-h-\-e-v-n","hevn","","944",""
"fee","f-e","fe","","945",""
"pleased","pl-/-t","plt","","946",""
