"back","b-a-k","","","153",""
"same","s2-a-m","","","154",""
"last","l-a-s","","","155",""
"found","f-nt","","","156",""
"take","t-a","","","157",""
"people","p-e-p","","","158",""
"thought","th-o-t","","","159",""
"here","^-h-\-e-r","","","160",""
"still","s2-t-e2","","","161",""
"just","j-u-s","","","163",""
"while","i-l","","","164",""
"also","o-s2-o","","","166",""
"again","a-g-n","","","167",""
"against","a-g-n-s","","","168",""
"place","p-l-a-s","","","169",""
"away","/-n","","","170",""
"get","g-e-t","","","171",""
"young","u-ng","","","172",""
"die","d-i","","","173",""
"though","th-o","","","174",""
"yet","e-t","","","175",""
"give","g-e","","","176",""
"hand","^-h-\-nt","","","177",""
"eyes","i-s","","","178",""
"ever","e-v","","","179",""
"part","p-t","","","180",""
"left","l-f-t","","","182",""
"things","th-\-s","","","183",""
"saw","s2-o","","","184",""
"years","e-r-s","","","185",""
"took","t-u-k","","","186",""
"nothing","n-\-h","","","187",""
"put","p","","","188",""
"three","th2-e","","","189",""
"always","o-l-s","","","190",""
"off","o-f","","","192",""
"once","u-n-s","","","193",""
"another","n-u-th","","","194",""
"right","r-i","","","195",""
"don't","d-o-n","","","196",""
"between","b-tn","","","197",""
"each","e-ch","","","198",""
"face","f-a-s","","","199",""
"because","k-s2","","","200",""
"whom","^-h-\-u-m","","","201",""
"few","f-e-u","","","202",""
"tell","t-e","","","204",""
"son","s2-n","","","205",""
"love","l-v","","","206",""
"far","f-a","","","207",""
"seemed","s2-e-mt","","","209",""
"house","^-h-\-u-s","","","210",""
"got","g-t","","","212",""
"God","g","","","213",""
"head","^-h-\-e-d","","","214",""
"called","k-o-/-t","","","215",""
"looked","l-u-/-t","","","216",""
"whole","^-h-\-o-l","","","217",""
"set","s2-e-t","","","218",""
"find","f-i","","","219",""
"world","u-u","","","221",""
"thing","th-\-h","","","223",""
"both","b-o-th","","","224",""
"told","t-o","","","225",""
"let","l-e","","","226",""
"look","l-u","","","227",""
"night","n-i","","","228",""
"heard","^-h-\-e2-d","","","230",""
"mind","m-i-n","","","231",""
"knew","n-u","","","232",""
"heart","^-h-\-a2-t","","","233",""
"seen","s2-e-n","","","234",""
"days","d-a-s","","","236",""
"name","n-a","","","238",""
"among","m-ng","","","239",""
"better","b-t-e2","","","240",""
"full","f-u","","","241",""
"something","s2-m-\-h","","","242",""
"moment","m-o-m","","","244",""
"gave","g-a","","","245",""
"country","k-t","","","246",""
"almost","o-m-o","","","248",""
"soon","s2-n","","","250",""
"course","k-r-s","","","251",""
"cannot","k-n","","","252",""
"asked","s2-k-t","","","253",""
"small","s2-m-o","","","254",""
"enough","n-u-f","","","256",""
"want","o-nt","","","258",""
"side","s-i","","","259",""
"woman","u-mn","","","260",""
"however","a-u-v","","","261",""
"home","^-h-\-o-m","","","262",""
"brought","b-r-o-t","","","263",""
"whose","^-h-\-u-s","","","264",""
"nor","n-o-r","","","265",""
"father","f-a-th","","","266",""
"quite","k-a-t","","","267",""
"words","u-d-s","","","268",""
"given","g-e","","","269",""
"till","t-e","","","270",""
"taken","t-a-k-n","","","272",""
"use","e-u","","","273",""
"hands","^-h-\-nt-s","","","274",""
"does","d-u-s","","","275",""
"until","nt-e","","","276",""
"end","nt","","","277",""
"turned","t-e-n-/-t","","","278",""
"rather","r-a-th","","","279",""
"best","b-e-s","","","281",""
"since","s2-e-n-s","","","283",""
"felt","f-e-l-t","","","284",""
"word","u-d","","","285",""
"lord","l-o-d","","","286",""
"light","l-i","","","289",""
"oh","o","","","290",""
"next","n-e-s","","","291",""
"began","b-g-a-n","","","292",""
"less","l-e-s","","","293",""
"present","p-r","","","294",""
"large","l-a-j","","","295",""
"water","u-o-t-e2","","","296",""
"den","d-e-n","","","297",""
"within","e-th-e-n","","","298",""
"door","d-o-r","","","299",""
"poor","p-u","","","300",""
"certain","s2-e-tn","","","301",""
"sent","s2-e-nt","","","304",""
"often","o-f-n","","","305",""
"stood","s2-t-u","","","307",""
"power","p-a-u","","","308",""
"room","r-m","","","309",""
"half","^-h-\-a-f","","","310",""
"public","p-b","","","311",""
"themselves","th-m-ss","","","312",""
"morning","mn-\-h","","","313",""
"sir","s2","","","314",""
"myself","m-as2","","","315",""
"keep","k-p","","","316",""
"money","mn-e","","","317",""
"mother","m-u-th","","","318",""
"hundred","^-h-\-u-nt","","","322",""
"kind","k-i","","","325",""
"order","o-d","","","326",""
"war","u-o","","","327",""
"means","m-e-n-s","","","328",""
"form","f-m","","","329",""
"round","r-nt","","","331",""
"received","r-s-e-/-t","","","332",""
"voice","v-o-e-s","","","333",""
"believe","b-e","","","334",""
"white","^-h-\-u-i-t","","","336",""
"miss","m-e-s","","","337",""
"anything","n-e-\-h","","","338",""
"near","n-e2","","","339",""
"others","u-th-s","","","340",""
"thus","th-u-s","","","341",""
"passed","p-a-s2-t","","","342",""
"matter","m-a-t","","","343",""
"year","e-r","","","345",""
"read","r-e-d","","","346",""
"true","t-r-u","","","347",""
"point","o-e","","","348",""
"herself","e-r-s","","","349",""
"friend","f-r","","","350",""
"state","s2-t","","","351",""
"person","p-r-s","","","352",""
"wife","i-f","","","353",""
"already","o-r-e","","","354",""
"above","a-b-v","","","355",""
"high","^-h-\-i","","","356",""
"met","m-e-t","","","357",""
"says","s2s","","","358",""
"together","t-u-g","","","359",""
"why","i","","","360",""
"perhaps","p-r-a-p-s","","","361",""
"death","d-e-th","","","362",""
"dear","d-e2","","","363",""
"fact","f-a-k","","","364",""
"least","l-e-s2-t","","","365",""
"case","k-a-s","","","366",""
"hear","^-h-\-e-r","","","367",""
"known","n-o-n","","","368",""
"English","e-ng-sh","","","369",""
"hope","^-h-\-o-p","","","371",""
"along","a-l-ng","","","372",""
"leave","l-e-v","","","373",""
"sure","sh-u","","","374",""
"children","ch-e-l","","","375",""
"during","d-r","","","376",""
"open","o-p-n","","","377",""
"yes","ye","","","378",""
"several","s2-e-v","","","379",""
"king","k-e-ng","","","380",""
"indeed","n-td","","","381",""
"therefore","th2-f","","","382",""
"number","n-u-m","","","383",""
"feet","f-e-t","","","384",""
"wish","u-sh","","","385",""
"gone","g-n","","","386",""
"girl","g-l","","","387",""
"lay","l-a","","","388",""
"either","e-th2","","","389",""
"held","^-h-\-e-ld","","","390",""
"whether","u-e-th","","","391",""
"letter","l-e","","","392",""
"help","^-h-\-e-l-p","","","394",""
"free","f-r-e","","","395",""
"general","j-e-n","","","396",""
"second","s2-e-k-nt","","","398",""
"alone","a-l-o-n","","","399",""
"return","r-e-t","","","400",""
"women","u-e-mn","","","401",""
"nature","n-a-t","","","402",""
"times","tm-s","","","403",""
"land","l-a-nt","","","404",""
"became","b-k-a","","","405",""
"become","b-k","","","406",""
"thousand","th-a-u","","","407",""
"body","b-o","","","408",""
"air","a-r","","","409",""
"call","k-o","","","411",""
"sat","s2-a-t","","","412",""
"speak","s-p","","","413",""
"united","e-u-n-i-/-t","","","414",""
"itself","t-ss","","","415",""
"hour","r","","","417",""
"reason","r-s2-n","","","419",""
"forth","f-th","","","421",""
"feel","f-e-l","","","422",""
"rest","r-e-s","","","425",""
"business","b-s","","","427",""
"behind","b-i","","","429",""
"plus","p-l-u-s","","","435",""
"really","r-e-e","","","436",""
"child","ch-i-ld","","","439",""
"lost","l-o-s2-t","","","440",""
"human","^-h-\-e-u-mn","","","441",""
"replied","r-e-p-/-t","","","442",""
"kept","k-p-t","","","443",""
"different","df","","","446",""
"fire","f-i-r","","","448",""
"short","^-sh","","","449",""
"manner","mn-e2","","","450",""
"mean","m-e-n","","","451",""
"city","s2-e-t-e","","","452",""
"fell","f-e-l","","","453",""
"able","a-b-l","","","454",""
"need","n-e-d","","","455",""
"French","f-r-e-n-ch","","","456",""
"question","k-n","","","457",""
"family","f-a-m-ya","","","458",""
"boy","b-o-e","","","459",""
"cause","k-s2","","","460",""
"strong","s2-t-r","","","462",""
"ten","tn","","","464",""
"o","o","","","465",""
"England","e-ng","","","466",""
"possible","p-o-s","","","467",""
"dead","td","","","468",""
"returned","r-e-t-/-t","","","469",""
"bring","b-r","","","470",""
"foundation","f-nt-sh","","","472",""
"live","l-a-v","","","473",""
"around","a-r-nt","","","474",""
"doubt","d-a-u","","","475",""
"hard","^-h-\-a2-d","","","476",""
"soul","s2-o-l","","","477",""
"ask","s2-k","","","478",""
"sort","s2-o-t","","","479",""
"fine","f-i-n","","","480",""
"hold","^-h-\-o-ld","","","481",""
"lady","l-a-d-e","","","482",""
"black","b-l-a-k","","","483",""
"beautiful","b-t-e-f","","","484",""
"sense","s2-e-n-s","","","485",""
"close","k-l-o-s","","","486",""
"subject","s-j","","","487",""
"turn","t-e-n","","","488",""
"town","t-n","","","489",""
"followed","f-o-/-t","","","490",""
"law","l-o","","","491",""
"evening","e-v-n-\-h","","","492",""
"truth","t-r","","","493",""
"ground","g-r-nt","","","495",""
"understand","u-/-s2-tn","","","496",""
"show","sh-o","","","497",""
"written","r-e-tn","","","499",""
"common","k-mn","","","501",""
"ought","o-t","","","503",""
"fear","f-e-r","","","504",""
"dark","d-a-r-k","","","505",""
"party","p-t-e","","","506",""
"ready","r-e-d-e","","","507",""
"force","f-s2","","","508",""
"carried","k-a-e-/-t","","","509",""
"can't","k-t","","","510",""
"early","e-r-e","","","511",""
"talk","t-o-k","","","512",""
"account","a-k-t","","","513",""
"answer","a-n-s","","","514",""
"paid","p-d","","","516",""
"across","a-k-r-s","","","517",""
"necessary","n-e-ss","","","519",""
"earth","e-r-th","","","522",""
"spirit","s-p-r","","","523",""
"idea","a-d-e","","","526",""
"character","k-a-k","","","528",""
"reached","r-e-ch-t","","","529",""
"copyright","k-p-e-r-i","","","530",""
"sea","s-e","","","531",""
"appeared","a-p-r-/-t","","","532",""
"sight","s2-i-t","","","534",""
"interest","^-n","","","535",""
"book","b-k","","","539",""
"seem","s2-e-m","","","540",""
"ye","ye","","","542",""
"continued","k-tn-u-d","","","543",""
"spoke","s-p-k","","","545",""
"strange","s2-t-j","","","546",""
"copy","k-p-e","","","547",""
"age","a-j","","","548",""
"meet","m-e-t","","","549",""
"longer","l-ng-e2","","","550",""
"story","s2-t-o-r-e","","","551",""
"deep","d-e-p","","","553",""
"nearly","n-e2-e2","","","554",""
"line","l-a-n","","","555",""
"further","f-th2","","","556",""
"later","l-a-t-e2","","","559",""
"added","a-td","","","561",""
"brother","b-r-u-th","","","563",""
"neither","n-e-th","","","564",""
"stand","s2-tn","","","565",""
"art","a2-t","","","567",""
"real","r-e","","","568",""
"toward","t-o-d","","","571",""
"rose","r-o-s","","","572",""
"beyond","b-o-n","","","574",""
"chapter","ch-a-p-t-e2","","","578",""
"everything","e-v-\-h","","","579",""
"pretty","p-r-e","","","580",""
"act","a-k","","","581",""
"suppose","s-p-o","","","582",""
"comes","k-m-s","","","583",""
"except","s-e-p","","","585",""
"table","t-a-b","","","586",""
"hours","r-s2","","","587",""
"river","r-e-v","","","588",""
"cut","k-u-t","","","589",""
"eye","a","","","590",""
"change","ch","","","591",""
"past","p-a-s","","","592",""
"natural","n-a-t-l","","","594",""
"entered","^-n-/-d","","","595",""
"none","n-u-n","","","596",""
"happy","^-h-\-a-p-e","","","597",""
"position","p-o-sh","","","598",""
"else","l-s","","","600",""
"clear","k-l-e","","","601",""
"late","l-a-t","","","602",""
"American","a-m-n","","","603",""
"bed","b-d","","","605",""
"laid","l-a-d","","","606",""
"cold","k-o-ld","","","607",""
"bad","b-d","","","608",""
"sound","s2-nt","","","609",""
"remember","r-e-mn","","","610",""
"view","v-e-u","","","611",""
"led","l-e-d","","","612",""
"low","l-o","","","613",""
"forward","f-d","","","615",""
"fair","f-a-r","","","616",""
"although","o-th-o","","","617",""
"makes","m-a-k-s","","","618",""
"purpose","p-r-p","","","619",""
"knowledge","n-o-l","","","620",""
"pay","p-a","","","622",""
"receive","r-s2-e","","","623",""
"blood","b-l-u-d","","","624",""
"army","a2-m-e","","","626",""
"daughter","d-o-t-e2","","","627",""
"note","n-o-t","","","628",""
"opened","o-jnt","","","629",""
"run","r-n","","","630",""
"el","e-l","","","632",""
"fall","f-o","","","634",""
"effect","f-k","","","636",""
"pass","p-a-s","","","637",""
"sun","s2-n","","","638",""
"road","r-o-d","","","639",""
"husband","^-h-\-u-s2","","","643",""
"charge","ch-j","","","644",""
"tried","t-r-i-d","","","645",""
"important","m-p","","","647",""
"literary","l-e-t-r-e","","","648",""
"wanted","o-nt-d","","","649",""
"service","^-s2","","","650",""
"front","f-r-nt","","","651",""
"red","r-e-d","","","652",""
"probably","p-r-b-e","","","653",""
"future","f-t","","","654",""
"placed","p-l-a-s2-t","","","656",""
"especially","e-s-p-e","","","657",""
"desire","d-s","","","659",""
"send","s2-e-n","","","661",""
"office","o-f","","","662",""
"London","l-nt","","","664",""
"greater","g-r-r","","","665",""
"big","b-g","","","667",""
"letters","l-es","","","668",""
"peace","p-e-s","","","669",""
"hair","^-h-\-a-r","","","670",""
"pleasure","p-l-e-sh","","","671",""
"horse","^-h-\-o-r-s","","","675",""
"remained","r-e-mn-/-t","","","676",""
"opinion","o-p-n","","","677",""
"various","v-a-r-s","","","678",""
"history","^-h-\-e-s2-t-r-e","","","682",""
"play","p-l-a","","","683",""
"agreement","^-ya-m","","","684",""
"died","d-i-d","","","685",""
"wrote","r-o-t","","","688",""
"wild","u-i-ld","","","689",""
"ran","r-a-n","","","692",""
"government","g-v","","","694",""
"save","s2-a-v","","","696",""
"length","l-e-ng","","","698",""
"ah","a","","","699",""
"master","m-a-s","","","700",""
"latter","l-a-t-e2","","","701",""
"persons","p-r-s-s","","","702",""
"hardly","^-h-\-a2-d-e","","","704",""
"gold","g-o-ld","","","705",""
"paper","p-a-p-r","","","706",""
"particular","p-a-t","","","707",""
"mark","m-a-r-k","","","708",""
"information","n-f-m-sh","","","709",""
"bear","b-a-r","","","711",""
"fellow","f-e-l-o","","","712",""
"church","ch-e2-ch","","","713",""
"attention","tn-sh","","","714",""
"wind","u-e-nt","","","716",""
"per","p-r","","","717",""
"company","k-p","","","719",""
"walked","u-o-k-t","","","720",""
"chief","ch-e-f","","","721",""
"strength","s2-t-r","","","722",""
"gentleman","jnt-m-a-n","","","723",""
"mine","m-i-n","","","724",""
"object","o-b","","","726",""
"unless","n-l","","","727",""
"duty","td-e","","","728",""
"drew","d-r-u","","","729",""
"single","s2-e-ng","","","730",""
"distance","d-s2-tn-s","","","731",""
"deal","d-e2","","","733",""
"visit","v-e-s2-e-t","","","735",""
"foot","f-u-t","","","736",""
"beauty","b-t-e","","","737",""
"heavy","^-h-\-e-v-e","","","739",""
"thinking","th-^-h-\-\-h","","","743",""
"loved","l-v-d","","","744",""
"carry","k-a-e","","","745",""
"immediately","e-m-e","","","746",""
"captain","k-a-p-tn","","","747",""
"try","t-r-i","","","750",""
"rich","r-e-ch","","","751",""
"plain","p-l-a-n","","","752",""
"sweet","s2-u-e-t","","","753",""
"minutes","mn-e-t-s","","","756",""
"follow","f-o","","","757",""
"trouble","t-r-b","","","758",""
"yourself","us","","","759",""
"write","r-i","","","760",""
"chance","ch-a-n-s","","","761",""
"regard","r-e","","","762",""
"filled","f-e-ld","","","763",""
"trees","t-r-e-s","","","765",""
"won't","o-nt","","","767",""
"presence","p-r","","","768",""
"merely","m-e2-e2","","","769",""
"secret","s2-e-k-r-e-t","","","771",""
"former","f-m-e2","","","772",""
"mere","m-e2","","","773",""
"appear","a-p-r","","","774",""
"struck","s2-t-r-k","","","775",""
"learned","l-e-n-/-t","","","776",""
"arm","a2-m","","","777",""
"happened","^-h-\-a-jnt","","","779",""
"man's","m-a-n-s","","","780",""
"influence","n-f","","","781",""
"instead","n-s2-td","","","782",""
"window","u-e-nt-o","","","785",""
"afraid","f-r-a","","","787",""
"below","b-l-o","","","788",""
"wrong","r-o-ng","","","789",""
"months","mn-th-s","","","790",""
"silence","s2-i-l","","","791",""
"broken","b-r-o-k-n","","","792",""
"raised","r-a-s2-d","","","793",""
"outside","a-u-s-i","","","795",""
"caught","k-o-t","","","797",""
"simple","s2-e-m-p","","","798",""
"lips","l-e-p-s","","","799",""
"figure","f-e-g-r","","","800",""
"ago","a-g","","","801",""
"reach","r-e-ch","","","802",""
"easily","e-s-ye","","","803",""
"noble","n-o-b","","","804",""
"whatever","o-t-e-v","","","805",""
"ancient","a-n-sh-t","","","809",""
"blue","b-l-u","","","810",""
"agree","^-ya","","","813",""
"generally","j-e-n-e","","","814",""
"showed","sh-o-d","","","815",""
"easy","e-s-e","","","816",""
"ship","sh","","","817",""
"action","a-k-sh","","","818",""
"stay","s2-t-a","","","819",""
"hat","^-h-\-a-t","","","820",""
"property","p-r-p-t","","","822",""
"fit","f-e-t","","","823",""
"enemy","e-n-e-m-e","","","824",""
"grew","g-r-u","","","825",""
"afterwards","a-f-d-s","","","826",""
"born","b-o-n","","","827",""
"places","p-l-a-ss","","","828",""
"impossible","m-p-o-s","","","830",""
"worth","u-u-th","","","831",""
"arrived","a-r-i-/-t","","","833",""
"occasion","k-a-sh","","","834",""
"remain","r-e-mn","","","835",""
"please","p-l","","","836",""
"green","g-r-e-n","","","837",""
"married","m-a-r-e-d","","","838",""
"third","th2-e2-d","","","839",""
"mouth","m-a-u-th","","","840",""
"sleep","s-l-e-p","","","841",""
"period","p-e2-d","","","842",""
"fresh","f-r-e-sh","","","843",""
"faith","f-a-th","","","844",""
"system","s2s","","","845",""
"entirely","nt-ia","","","849",""
"smile","s2-m-i2","","","850",""
"goes","g-s","","","852",""
"usual","e-u-sh","","","853",""
"covered","k-v-/-t","","","855",""
"appearance","a-p-r-n-s","","","856",""
"bound","b-n","","","857",""
"respect","r-e-s","","","858",""
"quiet","k-i-t","","","859",""
"beside","b-s-i","","","860",""
"dinner","tn-r","","","861",""
"expression","e-s-p-r-e-sh","","","862",""
"stopped","ss2-t","","","863",""
"slowly","s-l-o-e","","","865",""
"considerable","k-s-b","","","866",""
"prince","p-r-e-n-s","","","867",""
"somewhat","s2-m-o-t","","","868",""
"walk","u-o-k","","","869",""
"wonder","u-u-n","","","870",""
"greatest","g-r-s2-t","","","872",""
"provide","p-r-v-i","","","873",""
"perfect","p-r-f","","","876",""
"court","k-o-t","","","877",""
"youth","e-u-th","","","879",""
"cost","k-o-s","","","880",""
"sudden","s2-u-tn","","","883",""
"Christian","k-r-e-s-ch","","","884",""
"evil","e-v-l","","","885",""
"danger","tn-j-e2","","","886",""
"main","m-a-n","","","887",""
"battle","b-t-l","","","888",""
"wished","u-sh-t","","","889",""
"command","k-m-a-n","","","890",""
"notice","n-e-s","","","891",""
"piece","p-e-s","","","892",""
"political","p-o-l-/-ya","","","893",""
"sister","ss2-t-e2","","","894",""
"proper","p-r-p-r","","","896",""
"started","s2-t-a2-td","","","898",""
"considered","k-s-/-t","","","899",""
"expected","e-s-p-/-t","","","902",""
"joy","j-o-e","","","903",""
"private","p-r-i","","","904",""
"bright","b-r-i","","","905",""
"result","r-s2-u","","","906",""
"school","s2-k-l","","","907",""
"sit","s2-e-t","","","908",""
"language","l-a-ng","","","909",""
"individual","nt-v","","","912",""
"south","s2-a-u","","","913",""
"meant","mn-t","","","915",""
"food","f-u-d","","","916",""
"wide","u-i-d","","","917",""
"formed","f-m-/-t","","","918",""
"week","e-k","","","919",""
"tears","t-ye2","","","921",""
"opportunity","o-p-r","","","922",""
"value","v-l","","","924",""
"broke","b-r-o-k","","","927",""
"support","s-/-t","","","929",""
"due","d-u","","","930",""
"village","v-e-l-j","","","931",""
"fight","f-i-t","","","932",""
"experience","e-s-p","","","933",""
"medium","m-e-tm","","","935",""
"stone","s2-t-o-n","","","936",""
"begin","b-g-e-n","","","937",""
"domain","d-o-mn","","","939",""
"personal","p-r-s","","","941",""
"access","a-k-ss","","","942",""
"learn","l-e-n","","","945",""
"offered","o-f-/-t","","","947",""
"grand","^-g","","","949",""
"society","ss2","","","951",""
"boat","b-o-t","","","952",""
"takes","t-a-k-s","","","954",""
"date","td","","","955",""
"original","o-r-e-j","","","956",""
"difficult","df-k","","","958",""
"conversation","k-v-e-sh","","","959",""
"wait","u-a-t","","","960",""
"tree","t-r-e","","","961",""
"produced","p-r-o-d-u-s2-t","","","962",""
"paragraph","^-p-/-g","","","964",""
"cast","k-a-s2-t","","","965",""
"month","mn-th","","","966",""
"top","t-o-p","","","967",""
"tone","t-o-n","","","969",""
"laughed","l-a-f-t","","","970",""
"intended","n-tn-/-t","","","972",""
"Indian","nt-ea-n","","","974",""
"direction","d-r-k-sh","","","978",""
"gives","g-e-s","","","979",""
"terrible","t-e-r-b","","","980",""
"silent","s2-i-l-e-nt","","","981",""
"produce","p-r-o-d-u-s","","","982",""
"lie","l-i","","","986",""
"scene","s2-e-n","","","987",""
"lives","l-a-v-s2","","","988",""
"effort","e-f-t","","","989",""
"attempt","a-tm-t","","","990",""
"likely","l-a-e","","","991",""
"drawn","d-r-o-n","","","993",""
"fast","f-a-s2-t","","","995",""
"Street","s2-t","","","996",""
"wall","u-o-l","","","997",""
"troops","t-r-u-p-s","","","999",""
"modern","m-o-tn","","","1000",""
"military","m-e-l-e-t","","","1002",""
"author","o-th-r","","","1003",""
"field","f-e-ld","","","1004",""
"heaven","^-h-\-e-v-n","","","1005",""
"fee","f-e","","","1006",""
"pleased","p-l-/-t","","","1007",""
"authority","o-th2-/-r","","","1010",""
"soft","s2-o-f-t","","","1011",""
"bit","b-e-t","","","1012",""
"chair","ch-a2","","","1013",""
"cry","k-r-i","","","1014",""
"hot","^-h-\-o-t","","","1015",""
"named","n-a-/-t","","","1018",""
"summer","s2-m-e2","","","1020",""
"afternoon","a-f-n-u-n","","","1022",""
"allow","a-l","","","1023",""
"passage","p-a-s-j","","","1025",""
"music","m-u-s2-e-k","","","1026",""
"soldiers","s2-o-l-j-ye2","","","1028",""
"required","r-k-i-/-t","","","1029",""
"picture","p-k-t-r","","","1030",""
"simply","s2-e-m-p-e","","","1031",""
"pleasant","p-l-e-s","","","1032",""
"fixed","f-e-x-t","","","1033",""
"permission","p-r-m-sh","","","1034",""
"speech","s-p","","","1035",""
"marriage","m-a-r-j","","","1036",""
"study","s2-td-e","","","1037",""
"race","r-a-s","","","1038",""
"religious","r-e-l-e-j-u-s","","","1039",""
"west","u","","","1040",""
"ill","e-l","","","1045",""
"official","o-sh-l","","","1047",""
"houses","^-h-\-u-s-s","","","1048",""
"distribute","d-s-/-b","","","1049",""
"spent","s-jnt","","","1050",""
"ladies","l-a-d-e-s","","","1052",""
"leaves","l-e-v-s2","","","1053",""
"justice","j-u-s-s","","","1054",""
"trust","t-r-s","","","1056",""
"break","b-r-a-k","","","1057",""
"equal","e-k-l","","","1058",""
"eat","e-t","","","1059",""
"north","n-o-th","","","1060",""
"killed","k-e-ld","","","1062",""
"threw","th-r-u","","","1063",""
"physical","f-e-s-/-k","","","1064",""
"religion","r-e-l-e-j-n","","","1065",""
"watch","u-o-ch","","","1067",""
"understood","u-/-s2-t-u","","","1068",""
"forget","f-g-e-t","","","1069",""
"instant","n-s","","","1071",""
"ordered","o-d-/-t","","","1072",""
"middle","m-e-d-l","","","1074",""
"looks","l-u-s","","","1075",""
"sin","s2-e-n","","","1076",""
"success","s2-u-k","","","1078",""
"built","b-l","","","1079",""
"fortune","f-tn","","","1083",""
"spite","s-p-i-t","","","1084",""
"wise","u-i-s","","","1085",""
"moral","m-o-r-l","","","1087",""
"plan","p-l-a-n","","","1092",""
"touch","t-ch","","","1094",""
"closed","k-l-o-s2-d","","","1095",""
"rise","r-i-s","","","1097",""
"social","s2-o-sh","","","1099",""
"higher","^-h-\-i-r","","","1100",""
"rate","r-a-t","","","1101",""
"garden","g-a2-tn","","","1102",""
"changed","ch-/-t","","","1103",""
"corner","k-o-n-e2","","","1104",""
"island","i-l-a-nt","","","1110",""
"spring","s-p-r-e-ng","","","1111",""
"offer","o-f","","","1112",""
"pain","p-a-n","","","1113",""
"wood","u-u-d","","","1114",""
"instance","n-s","","","1115",""
"vain","v-a-n","","","1116",""
"sufficient","s2-u-f","","","1118",""
"happiness","^-h-\-a-p-e2-n-e-s","","","1119",""
"journey","j-e2-n-e","","","1120",""
"dress","d-r-e-s","","","1122",""
"ourselves","r-ss","","","1123",""
