word,form,qwerd,keyer,chord,usage
Has,a-s,Asu,u,qasu,79
Do,d-o,Doo,o,qcdo,80
What,o-t,Ot,,qotz,81
Could,k-d,Kd,,qcdk,82
Our,r,Ro,o,qorz,83
Than,th-n,Hno,o,qhno,84
Other,u-th,Uh,,qhux,85
Some,s2-m,Sm,,qmsx,86
Very,v-e,Ve,,qcev,87
Man,m-a-n,Mano,o,qamno,88
Upon,p-n,Pn,,qcnp,89
About,a-b,Ab,,qabc,90
Its,t-s,Ts,,qcst,91
Only,o-n-e,Oneo,o,qeno,92
Time,tm,Tm,,qmtv,93
Like,l-a,La,,qacl,94
Little,l-e-t,Leto,o,qelot,95
Now,n-a-u,Nw,,qcnw,96
Can,k,K,,qckm,98
Made,m-a-d,Mad,,qadm,99
Did,td,Dd,,qcdv,100
Such,s-ch,Sc,,qcsx,101
Great,g-r,Gr,,qcgr,102
Must,m-s,Ms,,qmsz,103
Before,b-f,Bf,,qbcf,105
Us,u-s,Uso,o,qosu,106
Over,^-o,Ou,u,qouz,107
Much,m-ch,Mc,,qcmz,108
Know,n-o,Nou,u,qnou,109
After,a-f,Af,,qacf,110
First,f-e-s,Fes,,qefs,111
Good,g,Gd,d,qcdg,113
Never,n-v,Nv,,qnvx,114
Most,m-o,Mo,,qmov,115
Where,a-r,Ar,,qacr,116
Old,o-ld,Oldo,o,qdlo,117
Men,mn,Mm,,qcmz,118
Own,o-n,Onu,u,qnou,119
Shall,sh,Z,,qcvz,120
Came,k-a-m,Kam,,qakm,121
Project,pr-j-k,Prjk,,qjkpr,122
Product,pr-o-d-u-k,Produk,,qdkopru,122
Without,e-th-t,Eht,,qeht,123
Come,k-m,Km,,qkmv,124
Make,m-a-k,Mak,,qakm,125
Day,d-a,Da,,qadv,127
Might,m-a-t,Mat,,qamt,128
Long,l-ng,Lg,,qglm,129
Through,th-r-u,Hru,,qhru,130
Himself,e-m-s,Ems,,qems,131
Work,r-k,Rk,,qkrz,132
How,a-u,Wo,o,qcow,133
Way,u-a,Ua,,qaux,136
Even,e-v-n,Evn,,qenv,137
Many,mn-e,Mme,,qbem,139
Well,l,Lo,o,qclo,140
Say,s-a,Sa,,qacs,141
Every,e-v-e,Eve,,qevx,142
Too,t-u,Tuu,u,qtuz,143
Think,th-\-h,Hh,,qchv,144
Under,^-u,Uu,u,qcuv,145
Life,l-a-f,Laf,,qafl,146
Back,b-a-k,Bak,,qabk,148
Same,s2-a-m,Sam,,qams,149
Last,l-a-s,Las,,qals,150
Found,f-nt,Fnt,,qfnt,151
Take,t-a,Ta,,qatx,152
People,p-e-p,Pep,,qepv,153
Thought,th-o-t,Hot,,qhot,154
Here,^-h-\-e-r,Heri,i,qehir,155
Still,s2-t-e2,Ste,,qest,156
Just,j-u-s,Jus,,qjsu,157
While,i-l,Il,,qcil,158
Also,o-s2-o,Oso,,qosz,160
Again,a-g-n,Agn,,qagn,161
Against,a-g-n-s,Agns,,qagns,162
Away,/-n,Nn,n,qnzx,164
Get,g-e-t,Geto,o,qegot,165
Young,u-ng,Ug,,qcgu,166
Die,d-i,Di,,qcdi,167
Though,th-o,Hoo,o,qhov,168
Yet,e-t,Et,,qetv,169
Give,g-e,Ge,,qceg,170
Hand,^-h-\-nt,Hnt,,qhnt,171
Eyes,i-s,Iso,o,qios,172
Ever,e-v,Ev,,qbev,173
Part,p-t,Pt,,qcpt,174
Left,l-f-t,Lft,,qflt,175
Things,th-\-s,Hsu,u,qhsu,176
Saw,s2-o,Sou,u,qosu,177
Years,e-r-s,Ers,,qers,178
Took,t-u-k,Tuk,,qktu,179
Nothing,n-\-h,Ng,,qcgn,180
Put,p,Po,o,qcop,181
Three,th2-e,Heu,u,qehu,182
Always,o-l-s,Ols,,qlos,183
Off,o-f,Ofo,o,qcfo,184
Once,u-n-s,Uns,,qnsu,185
Another,n-u-th,Nuh,,qhnu,186
Right,r-i,Ri,,qcir,187
Between,b-tn,Btn,,qbnt,189
Each,e-ch,Ec,,qcex,190
Face,f-a-s,Fas,,qafs,191
Because,k-s2,Ks,,qcks,192
Whom,^-h-\-u-m,Hum,,qhmu,193
Few,f-e-u,Fu,,qcfu,194
Tell,t-e,Te,,qotz,195
Tell,t-e,Teo,o,qeot,195
Son,s2-n,Sno,o,qnos,196
Love,l-v,Lv,,qclv,197
Far,f-a,Fa,,qafv,198
Seemed,s2-e-mt,Semt,,qemst,199
House,^-h-\-u-s,Hus,,qhsu,200
Got,g-t,Gt,,qcgt,201
Head,^-h-\-e-d,Hed,,qdeh,203
Looked,l-u-/-t,Lut,,qltu,205
Whole,^-h-\-o-l,Hol,,qhlo,206
Set,s2-e-t,Seto,o,qeost,207
Find,f-i,Fi,,qcfi,208
World,u-u,Uuo,o,qouz,210
Thing,th-\-h,Hg,,qcgh,212
Both,b-o-th,Boh,,qbho,213
Told,t-o,Tou,u,qotu,214
Let,l-e,Le,,qelz,215
Look,l-u,Lu,,qluv,216
Heard,^-h-\-e2-d,Hedo,o,qdeho,219
Mind,m-i-n,Min,,qimn,220
Knew,n-u,Nuo,o,qnou,221
Heart,^-h-\-a2-t,Hato,o,qahot,222
Seen,s2-e-n,Sen,,qens,223
Days,d-a-s,Das,,qads,224
Name,n-a,Na,,qanz,225
Among,m-ng,Mg,,qgmn,226
Better,b-t-e2,Bte,,qbet,227
Full,f-u,Fuo,o,qfou,228
Something,s2-m-\-h,Smg,,qgms,229
Moment,m-o-m,Momo,o,qmoz,230
Moments,m-o-m-s,Momso,o,qmos,230
Gave,g-a,Ga,,qacg,231
Country,k-t,Kt,,qckt,232
Almost,o-m-o,Omo,,qmoz,234
Soon,s2-n,Snu,u,qnsu,236
Course,k-r-s,Krs,,qkrs,237
Cannot,k-n,Kn,,qckn,238
Asked,s2-k-t,Skt,,qkst,239
Small,s2-m-o,Smo,,qmos,240
Enough,n-u-f,Nuf,,qfnu,241
Side,s-i,Sio,o,qios,243
Woman,u-mn,Umm,,qmux,244
However,a-u-v,Wv,,qcvw,245
Home,^-h-\-o-m,Hom,,qhmo,246
Brought,br-o-t,Brot,,qbort,247
Whose,^-h-\-u-s,Huso,o,qhosu,248
Nor,n-o-r,Noro,o,qnor,249
Father,f-a-th,Fah,,qafh,250
Quite,k-a-t,Qat,,qaqt,251
Given,g-e,Geo,o,qego,253
Till,t-e,Teu,u,qetu,254
Taken,t-a-k-n,Takn,,qaknt,256
Use,e-u,Uy,y,quy,257
Hands,^-h-\-nt-s,Hnts,,qhnst,258
Does,d-u-s,Dus,,qdsu,259
Rather,r-a-th,Rah,,qahr,263
Best,b-e-s,Bes,,qbes,265
Since,s2-e-n-s,Sens,,qens,266
Felt,f-e-l-t,Felto,o,qeflot,267
Word,u-d,Ud,,qcdu,268
Load,l-o-d,Lod,,qdlo,269
Lord,l-o-d,Loda,a,qadlo,269
Light,l-i,Li,,qilm,271
Oh,o,Oi,i,qcio,272
Next,n-e-s,Nx,,qcnx,273
Began,b-g-a-n,Bgan,,qabgn,274
Present,pr,Pr,,qprz,276
Large,l-a-j,Laj,,qajl,277
Water,u-o-t-e2,Uote,,qeotu,278
Den,d-e-n,Deno,o,qdeno,279
Within,e-th-e-n,Ehen,,qehn,280
Door,d-o-r,Dor,,qdor,281
Poor,p-u,Pu,,qcpu,282
Certain,s2-e-tn,Setn,,qenst,283
Sent,s2-e-nt,Sento,o,qenost,286
Often,o-f-n,Ofn,,qfno,287
Stood,s2-t-u,Stu,,qstu,288
Power,p-a-u,Pw,,qcpw,289
Room,r-m,Rm,,qmrv,290
Half,^-h-\-a-f,Haf,,qafh,291
Themselves,th-m-ss,Hmss,,qhms,293
Morning,mn-\-h,Mmg,,qgmx,294
Sir,s2,Sw,w,qcsw,295
Myself,m-as2,Mas,,qams,296
Keep,k-p,Kp,,qckp,297
Money,mn-e,Mmeo,o,qemo,298
Mother,m-u-th,Muh,,qhmu,299
Hundred,^-h-\-u-nt,Hunt,,qhntu,302
Kind,k-i,Ki,,qikv,303
Order,o-d,Od,,qdov,304
War,u-o,Uoo,o,qouz,305
Means,m-e-n-s,Mens,,qemns,306
Form,f-m,Fmo,o,qfmo,307
Round,r-nt,Rnt,,qnrt,309
Received,r-s-e-/-t,Rset,,qerst,310
Believe,b-e,Beo,o,qbeo,312
White,^-h-\-u-i-t,Huit,,qhitu,313
Miss,m-e-s,Mes,,qems,314
Anything,n-e-\-h,Neg,,qegn,315
Near,n-e2,Neo,o,qeno,316
Others,u-th-s,Uhs,,qhsu,317
Thus,th-u-s,Husu,u,qhsu,318
Passed,p-a-s2-t,Pasto,o,qaopst,319
Matter,m-a-t,Mato,o,qamot,320
Year,e-r,Eru,u,qeru,322
TRUE,t-r-u,Tru,,qrtu,324
Point,o-e,Y,,qcmy,325
Herself,e-r-s,Erso,o,qeors,326
Friend,fr,Fr,,qcfr,327
State,s2-t,Sto,o,qost,328
Person,pr-s,Prs,,qprs,329
Wife,i-f,Ifo,o,qfio,330
Already,o-r-e,Ore,,qeor,331
Above,a-b-v,Abv,,qabv,332
High,^-h-\-i,Hio,o,qhio,333
Met,m-e-t,Meto,o,qemot,334
Says,s2s,Ss,,qbcs,335
Together,t-u-g,Tug,,qgtu,336
Why,i,Io,o,qiov,337
Perhaps,pr-a-p-s,Praps,,qaprs,338
Death,d-e-th,Deh,,qdeh,339
Dear,d-e2,De,,qcde,340
Fact,f-a-k,Fak,,qafk,341
Least,l-e-s2-t,Lest,,qelst,342
Hear,^-h-\-e-r,Heru,u,qehru,344
Known,n-o-n,Nono,o,qnoz,345
English,e-ng-sh,Engz,,qegnz,346
Hope,^-h-\-o-p,Hop,,qhop,348
Along,a-l-ng,Alg,,qagl,349
Leave,l-e-v,Lev,,qelv,350
Sure,sh-u,Zu,,qcuz,351
Children,ch-e-l,Cel,,qcel,352
During,d-r,Dro,o,qdor,353
Open,o-p-n,Opn,,qnop,354
Yes,y,Ye,,qcey,355
Several,s2-e-v,Sev,,qesv,356
King,k-e-ng,Keg,,qegk,357
Indeed,n-td,Ndd,,qdmn,358
Therefore,th2-f,Hf,,qcfh,359
Number,n-u-m,Num,,qmnu,360
Feet,f-e-t,Fet,,qeft,361
Wish,u-sh,Uz,,quvz,362
Gone,g-n,Gn,,qgnv,363
Girl,g-l,Glo,o,qglo,364
Lay,l-a,Lao,o,qalo,365
Either,e-th2,Eho,o,qeho,366
Held,^-h-\-e-ld,Heldo,o,qdehlo,367
Whether,u-e-th,Ueh,,qehu,368
Letter,l-e,Leo,o,qelo,369
Help,^-h-\-e-l-p,Helpo,o,qehlop,370
Free,fr-e,Fre,,qefr,371
General,j-e-n,Jen,,qejn,372
Second,s2-e-k-nt,Seknt,,qeknst,373
Alone,a-l-o-n,Alon,,qalno,374
Return,r-e-t,Ret,,qert,375
Women,u-e-mn,Uemm,,qemu,376
Nature,n-a-t,Nat,,qant,377
Times,tm-s,Tms,,qmst,378
Land,l-a-nt,Lant,,qalnt,379
Became,b-k-a,Bka,,qabk,380
Become,b-k,Bk,,qbck,381
Thousand,th-a-u,Hw,,qchw,382
Body,b-o,Boo,o,qboz,383
Air,a-r,Aro,o,qaor,384
Call,k-o,Ko,,qkoz,386
Sat,s2-a-t,Sato,o,qaost,387
Speak,s-p,Sp,,qcps,388
United,e-u-n-i-/-t,Unid,,qdinu,389
Itself,t-ss,Tss,,qstv,390
Hour,r,Ru,u,qcru,392
Reason,r-s2-n,Rsn,,qnrs,394
Forth,f-th,Fh,,qfhv,395
Feel,f-e-l,Fel,,qefl,396
Rest,r-e-s,Res,,qers,399
Business,b-s,Bs,,qbsv,401
Behind,b-i,Bi,,qbci,403
Plus,pl-u-s,Pluso,o,qlopsu,408
Really,r-e-e,Ree,,qber,409
Child,ch-i-ld,Cild,,qcdil,412
Lost,l-o-s2-t,Losto,o,qlost,413
Human,^-h-\-e-u-mn,Humm,,qhmu,414
Replied,r-e-p-/-t,Rept,,qeprt,415
Kept,k-p-t,Kpt,,qkpt,416
Different,df,Df,,qcdf,419
Short,^-sh,Zo,o,qcoz,422
Manner,mn-e2,Mmeu,u,qemu,423
Mean,m-e-n,Meno,o,qemno,424
City,s2-e-t-e,Sete,,qest,425
Fell,f-e-l,Felo,o,qeflo,426
Need,n-e-d,Ned,,qden,428
French,fr-e-n-ch,Frenc,,qcefnr,429
Question,k-n,Qn,,qcnq,430
Family,f-a-m-ya,Famya,,qafmy,431
Cause,k-s2,Kso,o,qkos,433
Strong,s2-t-r,Str,,qrst,435
Ten,tn,Tn,,qntz,437
England,e-ng,Eg,,qbeg,438
Possible,p-o-s,Poso,o,qops,439
Dead,td,Ddo,o,qdoz,440
Returned,r-e-t-/-t,Rett,,qert,441
Bring,br,Br,,qbcr,442
Foundation,f-nt-sh,Fntz,,qfntz,444
Live,l-a-v,Lav,,qalv,445
Around,a-r-nt,Arnt,,qanrt,446
Doubt,d-a-u,Dw,,qcdw,447
Hard,^-h-\-a2-d,Hado,o,qadho,448
Soul,s2-o-l,Sol,,qlos,449
Ask,s2-k,Sk,,qksx,450
Sort,s2-o-t,Sot,,qost,451
Fine,f-i-n,Fin,,qfin,452
Hold,^-h-\-o-ld,Holdo,o,qdhlo,453
Lady,l-a-d-e,Lade,,qadel,454
Black,bl-a-k,Blak,,qabkl,455
Beautiful,b-t-e-f,Btef,,qbeft,456
Sense,s2-e-n-s,Senso,o,qenos,457
Close,k-l-o-s,Klos,,qklos,458
Closed,k-l-o-s-d,Klosd,,qdklos,458
Turn,t-e-n,Tenu,u,qentu,460
Law,l-o,Loo,o,qlmo,463
Evening,e-v-n-\-h,Evng,,qegnv,464
Truth,t-r,Tr,,qcrt,465
Ground,g-r-nt,Grnt,,qgnrt,466
Understand,u-/-s2-tn,Ustn,,qnstu,467
Show,sh-o,Zoo,o,qovz,468
Written,r-e-tn,Retn,,qenrt,469
Common,k-mn,Kmm,,qkmx,470
Ought,o-t,Oto,o,qotz,471
Fear,f-e-r,Fer,,qefr,472
Dark,d-a-r-k,Darko,o,qadkor,473
Party,p-t-e,Pte,,qept,474
Ready,r-e-d-e,Rede,,qder,475
Force,f-s2,Fs,,qcfs,476
Carried,k-a-e-/-t,Kaet,,qaekt,477
Can't,k-t,Kto,o,qkot,478
Early,e-r-e,Ere,,qerz,479
Talk,t-o-k,Tok,,qkot,480
Account,a-k-t,Akt,,qakt,481
Answer,a-n-s,Ans,,qans,482
Paid,p-d,Pd,,qcdp,483
Across,a-k-r-s,Akrs,,qakrs,484
Necessary,n-e-ss,Ness,,qens,486
Earth,e-r-th,Erh,,qehr,489
Spirit,s-pr,Spr,,qprs,490
Idea,a-d-e,Ade,,qade,492
Character,k-a-k,Kak,,qakz,494
Reached,r-e-ch-t,Rect,,qcert,495
Copyright,k-p-e-r-i,Kperi,,qeikpr,496
Sea,s-e,Seo,o,qeos,497
Appeared,a-pr-/-t,Aprt,,qaprt,498
Sight,s2-i-t,Sito,o,qiost,500
Interest,^-n,Ny,y,qcny,501
Book,b-k,Bko,o,qbko,505
Seem,s2-e-m,Sem,,qems,506
Spoke,s-p-k,Spk,,qkps,509
Strange,s2-t-j,Stj,,qjst,510
Age,a-j,Aj,,qacj,512
Meet,m-e-t,Metu,u,qemtu,513
Longer,l-ng-e2,Lge,,qegl,514
Story,s2-t-o-r-e,Storeo,o,qeorst,515
Deep,d-e-p,Dep,,qdep,517
Nearly,n-e2-e2,Nee,,qenz,518
Line,l-a-n,Lan,,qaln,519
Further,f-th2,Fho,o,qfho,520
Later,l-a-t-e2,Lateo,o,qaelot,523
Added,a-td,Addo,o,qado,525
Brother,br-u-th,Bruh,,qbhru,526
Neither,n-e-th,Neh,,qehn,527
Stand,s2-tn,Stn,,qnst,528
Art,a2-t,Ato,o,qaot,530
Real,r-e,Re,,qerz,531
Toward,t-o-d,Tod,,qdot,533
Rose,r-o-s,Ros,,qors,534
Beyond,b-o-n,Bon,,qbno,535
Chapter,ch-a-p-t-e2,Capte,,qacept,538
Everything,e-v-\-h,Evg,,qegv,539
Pretty,pr-e,Prei,i,qeipr,540
Act,a-k,Ak,,qakz,541
Suppose,s-p-o,Spo,,qops,542
Comes,k-m-s,Kms,,qkms,543
Except,s-e-p,Sep,,qeps,544
Table,t-a-b,Tabo,o,qabot,545
Hours,r-s2,Rs,,qcrs,546
River,r-e-v,Rev,,qerv,547
Cut,k-u-t,Kut,,qktu,548
Eye,a,Ao,o,qaco,549
Change,ch,Cu,u,qcux,550
Past,p-a-s,Pas,,qaps,551
Natural,n-a-t-l,Natl,,qalnt,552
Entered,^-n-/-d,Nd,,qdnv,553
None,n-u-n,Nun,,qnuz,554
Happy,^-h-\-a-p-e,Hape,,qaehp,555
Position,p-o-sh,Poz,,qopz,556
Else,l-s,Ls,,qcls,558
Clear,k-l-e,Kle,,qekl,559
Late,l-a-t,Lat,,qalt,560
American,a-m-n,Amn,,qamn,561
Bed,b-d,Bd,,qbcd,563
Bad,b-d,Bdo,o,qbdo,566
Sound,s2-nt,Snt,,qnst,567
Remember,r-e-mn,Remm,,qemr,568
View,v-e-u,Vu,,qbuv,569
Low,l-o,Lou,u,qlou,571
Forward,f-d,Fd,,qdfv,572
Fair,f-a-r,Faro,o,qafor,573
Although,o-th-o,Oho,,qhox,574
Makes,m-a-k-s,Maks,,qakms,575
Purpose,pr-p,Prp,,qprz,576
Knowledge,n-o-l,Nol,,qlno,577
Pay,p-a,Pa,,qacp,579
Receive,r-s2-e,Rse,,qers,580
Blood,bl-u-d,Blud,,qbdlu,581
Daughter,d-o-t-e2,Dote,,qdeot,583
Opened,o-jnt,Ojnt,,qjnot,585
Run,r-n,Rn,,qcnr,586
Fall,f-o,Fo,,qfov,589
Effect,f-k,Fk,,qcfk,590
Pass,p-a-s,Pasu,u,qapsu,591
Sun,s2-n,Sni,i,qins,592
Road,r-o-d,Rod,,qdor,593
Husband,^-h-\-u-s2,Husi,i,qhisu,594
Charge,ch-j,Cj,,qcjm,595
Tried,t-r-i-d,Trid,,qdirt,596
Important,m-p,Mp,,qmpv,598
Literary,l-e-t-r-e,Letre,,qelrt,599
Wanted,o-nt-d,Ontd,,qdnot,600
Service,^-s2,Sy,y,qsxy,601
Front,fr-nt,Frnt,,qfnrt,602
Red,r-e-d,Redu,u,qderu,603
Probably,pr-b-e,Prbe,,qbepr,604
Future,f-t,Ft,,qcft,605
Placed,pl-a-s2-t,Plast,,qalpst,606
Especially,e-s-p-e,Espe,,qeps,607
Desire,d-s,Ds,,qcds,609
Send,s2-e-n,Seno,o,qenos,611
Office,o-f,Ofu,u,qfou,612
London,l-nt,Lnt,,qlnt,614
Greater,g-r-r,Grr,,qgmr,615
Big,b-g,Bgo,o,qbgo,617
Peace,p-e-s,Pes,,qeps,619
Hair,^-h-\-a-r,Har,,qahr,620
Pleasure,pl-e-sh,Plez,,qelpz,621
Horse,^-h-\-o-r-s,Hors,,qhors,624
Remained,r-e-mn-/-t,Remmt,,qemrt,625
Opinion,o-p-n,Opno,o,qnop,626
Various,v-a-r-s,Vars,,qarsv,627
History,^-h-\-e-s2-t-r-e,Hestre,,qehrst,629
Play,pl-a,Pla,,qalp,630
Agreement,^-ya-m,Yam,,qamy,631
Died,d-i-d,Dido,o,qdio,632
Wrote,r-o-t,Rot,,qort,635
Wild,u-i-ld,Uild,,qdilu,636
Ran,r-a-n,Rano,o,qanor,637
Government,g-v,Gv,,qcgv,638
Save,s2-a-v,Sav,,qasv,640
Ah,a,Au,u,qauz,642
Master,m-a-s,Maso,o,qamos,643
Latter,l-a-t-e2,Lateu,u,qaeltu,644
Gold,g-o-ld,Goldo,o,qdglo,648
Paper,p-a-pr,Papr,,qapr,649
Particular,p-a-t,Pat,,qapt,650
Mark,m-a-r-k,Marko,o,qakmor,651
Information,n-f-m-sh,Nfmz,,qfmnz,652
Bear,b-a-r,Baro,o,qabor,653
Fellow,f-e-l-o,Feloo,o,qeflo,654
Church,ch-e2-ch,Cec,,qcez,655
Attention,tn-sh,Tnz,,qntz,656
Wind,u-e-nt,Uent,,qentu,658
Per,pr,Proo,oo,qopr,659
Walked,u-o-k-t,Uokt,,qkotu,662
Chief,ch-e-f,Cef,,qcef,663
Strength,s2-t-r,Stro,o,qorst,664
Gentleman,jnt-m-a-n,Jntman,,qajmnt,665
Mine,m-i-n,Mino,o,qimno,666
Object,o-b,Ob,,qboz,668
Unless,n-l,Nl,,qlmn,669
Duty,td-e,Dde,,qdev,670
Drew,d-r-u,Dru,,qdru,671
Distance,d-s2-tn-s,Dstns,,qdnst,673
Deal,d-e2,Deo,o,qdeo,675
Visit,v-e-s2-e-t,Veset,,qestv,676
Foot,f-u-t,Fut,,qftu,677
Beauty,b-t-e,Bteo,o,qbeot,678
Heavy,^-h-\-e-v-e,Heve,,qehv,680
Thinking,th-^-h-\-\-h,Hhg,,qghm,683
Loved,l-v-d,Lvd,,qdlv,684
Carry,k-a-e,Kae,,qaek,685
Immediately,e-m-e,Eme,,qemz,686
Captain,k-a-p-tn,Kaptn,,qaknpt,687
Try,t-r-i,Tri,,qirt,689
Rich,r-e-ch,Reci,i,qceir,690
Plain,pl-a-n,Plano,o,qalnop,691
Sweet,s2-u-e-t,Suet,,qestu,692
Minutes,mn-e-t-s,Mmets,,qemst,695
Follow,f-o,Foo,o,qfox,696
Trouble,t-r-b,Trb,,qbrt,697
Yourself,us,Usu,u,qsux,698
Write,r-i,Rio,o,qior,699
Chance,ch-a-n-s,Cans,,qacns,700
Regard,r-e,Reo,o,qeor,701
Filled,f-e-ld,Feld,,qdefl,702
Trees,t-r-e-s,Tres,,qerst,703
Presence,pr,Pru,u,qpru,705
Merely,m-e2-e2,Mee,,qemz,706
Secret,s2-e-k-r-e-t,Sekret,,qekrst,707
Former,f-m-e2,Fme,,qefm,708
Mere,m-e2,Meu,u,qemu,709
Appear,a-pr,Apr,,qapr,710
Struck,s2-t-r-k,Strk,,qkrst,711
Learned,l-e-n-/-t,Lent,,qelnt,712
Arm,a2-m,Amo,o,qamo,713
Happened,^-h-\-a-jnt,Hajnt,,qahjnt,715
Man's,m-a-n-s,Mans,,qamns,716
Influence,n-f,Nf,,qcfn,717
Instead,n-s2-td,Nsdd,,qdns,718
Instead,n-s2-td,Nstd,,qdns,718
Window,u-e-nt-o,Uento,,qenotu,721
Afraid,fr-a,Fra,,qafr,723
Below,bl-o,Blo,,qblo,724
Wrong,r-o-ng,Rog,,qgor,725
Months,mn-th-s,Mmhs,,qhms,726
Silence,s2-i-l,Sil,,qils,727
Broken,br-o-k-n,Brokn,,qbknor,728
Outside,a-u-s-i,Wsi,,qisw,730
Caught,k-o-t,Koto,o,qkot,732
Simple,s2-e-m-p,Semp,,qemps,733
Lips,l-e-p-s,Leps,,qelps,734
Figure,f-e-g-r,Fegr,,qefgr,735
Ago,a-g,Ag,,qagx,736
Reach,r-e-ch,Rec,,qcer,737
Easily,e-s-ye,Esye,,qesy,738
Noble,n-o-b,Nob,,qbno,739
Whatever,o-t-e-v,Otev,,qeotv,740
Ancient,a-n-sh-t,Anzt,,qantz,742
Blue,bl-u,Blu,,qblu,743
Agree,^-ya,Ya,,qavy,746
Generally,j-e-n-e,Jene,,qejn,747
Showed,sh-o-d,Zod,,qdoz,748
Easy,e-s-e,Ese,,qesz,749
Ship,sh,Zi,i,qciz,750
Action,a-k-sh,Akz,,qakz,751
Stay,s2-t-a,Sta,,qast,752
Hat,^-h-\-a-t,Hatu,u,qahtu,753
Property,pr-p-t,Prpt,,qprt,755
Fit,f-e-t,Feto,o,qefot,756
Enemy,e-n-e-m-e,Eneme,,qemn,757
Grew,g-r-u,Gru,,qgru,758
Afterwards,a-f-d-s,Afds,,qadfs,759
Born,b-o-n,Bono,o,qbno,760
Impossible,m-p-o-s,Mpos,,qmops,763
Worth,u-u-th,Uuh,,qhuz,764
Arrived,a-r-i-/-t,Arit,,qairt,766
Occasion,k-a-sh,Kaz,,qakz,767
Remain,r-e-mn,Remmo,o,qemor,768
Please,pl,Pl,,qclp,769
Green,g-r-e-n,Gren,,qegnr,770
Married,m-a-r-e-d,Mared,,qademr,771
Third,th2-e2-d,Hedu,u,qdehu,772
Mouth,m-a-u-th,Mwh,,qhmw,773
Sleep,s-l-e-p,Slep,,qelps,774
Period,p-e2-d,Ped,,qdep,775
Fresh,fr-e-sh,Frez,,qefrz,776
Faith,f-a-th,Faho,o,qafho,777
System,s2s,Sso,o,qosz,778
Entirely,nt-ia,Ntia,,qaint,782
Smile,s2-m-i2,Smi,,qims,783
Usual,e-u-sh,Uzo,o,qouz,786
Covered,k-v-/-t,Kvt,,qktv,788
Appearance,a-pr-n-s,Aprns,,qanprs,789
Bound,b-n,Bno,o,qbno,790
Respect,r-e-s,Reso,o,qeors,791
Quiet,k-i-t,Qit,,qiqt,792
Beside,b-s-i,Bsi,,qbis,793
Dinner,tn-r,Tnr,,qnrt,794
Expression,e-s-pr-e-sh,Xprez,,qeprxz,795
Stopped,ss2-t,Sst,,qstx,796
Slowly,s-l-o-e,Sly,,qlsy,798
Considerable,k-s-b,Ksb,,qbks,799
Prince,pr-e-n-s,Prens,,qenprs,800
Somewhat,s2-m-o-t,Smot,,qmost,801
Walk,u-o-k,Uok,,qkou,802
Wonder,u-u-n,Uun,,qnuz,803
Greatest,g-r-s2-t,Grst,,qgrst,805
Provide,pr-v-i,Prvi,,qiprv,806
Court,k-o-t,Kotu,u,qkotu,809
Youth,e-u-th,Uho,o,qhou,811
